_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
668fccb19b66a9bab080513b,,107.26,100,107.26,63.6,90;0;0;0,quote,5618,0,2,10.07,0,9.98,false,false,english,none,master,false,false,false,,1720700081000
668ef0619b66a9bab079d30f,,97.19,100,97.19,61.06,100;0;0;0,quote,263,0,9,12.35,0,20.02,false,false,english,none,master,false,false,false,,1720643681000
668eee4f9b66a9bab079c501,,93.62,100,93.62,70.14,83;0;0;0,quote,2050,0,3,10.64,0,14.73,false,false,english,none,master,false,false,false,,1720643151000
668eeac79b66a9bab079a968,,125.16,100,125.16,88.65,71;0;0;0,quote,5824,0,3,6.81,0,5.63,false,false,english,none,master,false,false,false,,1720642247000
668eeab39b66a9bab079a8bd,,123.75,100,123.75,82.3,59;0;0;0,quote,733,0,1,5.72,0,0.8,false,false,english,none,master,false,false,false,,1720642227000
668eeaaa9b66a9bab079a863,,105.02,100,105.02,79.51,74;0;0;0,quote,6427,0,6,8.46,0,12.39,false,false,english,none,master,false,false,false,,1720642218000
668eea819b66a9bab079a742,,132.67,100,132.67,59.37,57;0;0;0,quote,6844,0,5,5.16,0,18.06,false,false,english,none,master,false,false,false,,1720642177000
668ec9b89b66a9bab0788416,,89.65,100,89.65,70.23,41;0;0;0,quote,6842,0,4,5.49,0,17.4,false,false,english,none,master,false,false,false,,1720633784000
668ebd5b9b66a9bab0780563,,120.56,100,120.56,82.89,29;0;0;0,quote,5398,0,47,2.89,0,133.44,false,false,english,none,master,false,false,false,,1720630619000
668ebc8c9b66a9bab077fd3e,,108.1,100,108.1,72.75,84;0;0;0,quote,6836,0,32,9.32,0,76.63,false,false,english,none,master,false,false,false,,1720630412000
668ebc079b66a9bab077f7dc,,98.94,100,98.94,62.54,91;0;0;0,quote,2431,0,21,11.04,0,35.71,false,false,english,none,master,false,false,false,,1720630279000
668ebbb89b66a9bab077f47c,,98.27,100,98.27,65.71,74;0;0;0,quote,2149,0,19,9.04,0,38.22,false,false,english,none,master,false,false,false,,1720630200000
668ebb6e9b66a9bab077f135,,101.91,100,101.91,74.08,73;0;0;0,quote,4737,0,3,8.6,0,6.23,false,false,english,none,master,false,false,false,,1720630126000
668ebb589b66a9bab077f05b,,95.9,100,95.9,73.66,87;0;0;0,quote,1399,0,3,10.89,0,13.65,false,false,english,none,master,false,false,false,,1720630104000
668ebb399b66a9bab077ef27,,100.08,100,100.08,83.25,66;0;0;0,quote,6147,0,11,7.91,0,19.1,false,false,english,none,master,false,false,false,,1720630073000
668ebb0d9b66a9bab077ed6e,,89.14,100,89.14,62.04,71;0;0;0,quote,6813,0,15,9.56,0,36.36,false,false,english,none,master,false,false,false,,1720630029000
668ebac99b66a9bab077eaa0,,83.37,100,83.37,75.62,58;0;0;0,quote,5138,0,23,8.35,0,57.58,false,false,english,none,master,false,false,false,,1720629961000
668e8cd49b66a9bab075da61,,99.06,100,99.06,58.75,50;0;0;0,quote,41,0,0,6.06,0,0,false,false,english,none,master,false,false,false,,1720618196000
668e8ccc9b66a9bab075da06,,99.69,100,99.69,63.03,50;0;0;0,quote,41,0,100,6.02,0,372.96,false,false,english,none,master,false,false,false,,1720618188000
668e894b9b66a9bab075b2d0,,112.32,100,112.32,81.94,44;0;0;0,quote,3814,0,12,4.7,0,54.87,false,false,english,none,master,false,false,false,,1720617291000
668e85b09b66a9bab0758a23,,101.44,100,101.44,72.07,62;0;0;0,quote,754,0,2,7.33,0,8.55,false,false,english,none,master,false,false,false,,1720616368000
668e85409b66a9bab0758549,,80.56,100,80.56,61.31,62;0;0;0,quote,6417,0,13,9.24,0,15.62,false,false,english,none,master,false,false,false,,1720616256000
668e85099b66a9bab07582db,,117.1,100,117.1,86.48,44;0;0;0,quote,3814,0,0,4.51,0,0,false,false,english,none,master,false,false,false,,1720616201000
668e85039b66a9bab0758292,,89.12,100,89.12,61.58,53;0;0;0,quote,1270,0,14,7.14,0,29.35,false,false,english,none,master,false,false,false,,1720616195000
